N,SongName,SongString
79,keeponsingingtwo.mxl,p900001-10-42-222-70050-2202-20-7230-33-52-200090001-100-42002-7005000-240-20-70023-332-200220-2-240-2-202-22-222-750-22-22-240-2-7002300-330p
80,beginthebeguine.mxl,p2500-3-2201p-50272-22-22-2212-11-2-1-2-1121-1121-1-2-1-20-2-200000-321-1-221-1-2212-2-3-2
81,reich.mid,p21-1-2p021-1-2p021-1-2p5p-2p-1p-2p021-1-2p021-1-2p021-1-2p5p-2p-1p-2p021-1-20021-1-20021-1-205-2-1-20021-1-20021-1-20021-1-205-2-1-20
82,kalamazoo_arnstein.mxl,-50-3000-443-7-5540-443-7-5548p-522-4p5p02-2p-80008002-3p-80009002-3p-9000100p-12000-200p9000-90000p8000-9000080000-90000p8000p-9p12221p-3-2-2-105-2-204-2-2-15-2-2-15-2-2p-7p0p-1p-2-1p
83,pourtoi.mid,0-70p02p1-1-27-70p0210-1-275-2002-2-2-10
84,whereareyou.mxl,p21-10-200p201-1-20p021-103-30-2p3-1-20p
85,sadness.mxl,-1-2-5-44-209-3-4-2-2-1-2015-1-2-5-44-20p2223-310p0-22-2-5p3-100p32-2p
86,littlespanishtown.mxl,-9540-2-24-9545-70-22p0-74300-3p3-74300-3p1p0p0-852-2p3-852-2p2-70p7-77-2-24-77-2-22-50p
87,someday_prince.mxl,5-43-2008-43-2021200400-40-31200400-40p-125-43-2008-43-2021207-2-111-119-2-2000000
88,loopdilove.mid,p022-4p0022-4p221-1-2p-2022-4p-321-1-2p021-1-2p3022-4p0022-4
89,heartbeat.mid,-2-3-2-2-3-223-3
90,keeponsinging.mxl,00-2-240-44-2-240-200002-750-2-13050-2-1p0-2-2400000000000-200002-2-5p5000050000-2-1000-2-240-400002100-10-220
91,motheranddad.mxl,1p1-2-1-1-1-110311-2-3-445-200-1-1-1-113-1-1-15-500-2-2-1-3150212-2-1-422-20212-2-11-8340p
92,bisschenfrieden.mid,p012002-24000120-2-1-20-2-3012002-24000120-24-2-2-8012002-24000120-2-1-20-2-3012002-24000120-24-2-2
93,el_rancho_anonymous.mxl,12p00p-10p-23p2-2211-60p-102-2-11p10p-3p-7p2p-22p-29p-4-52-2p-33540-954p3-2-13-80-4439-2-2-2-1p0p-954p3-2-13-80-4439-2-2-2-1p
94,blessees.mid,p122-51-321-321
95,shalom.mxl,120001-1-441-1-2p0p0p-10p0100002-2-330p0-32p1-1p-10p-3p1200p02p-2-332-2-43p1p-5p00-12120001-1-4-1-1-12113-25-3p-4-1p-1p-12113-29-3-3-13-3-31-3-20
96,ilpostino.mxl,p3-330-35-53002-20-2-117-7-1001-10-2-115-83-2-11435-11-32-4p-153-330-33-33002-22-2-2-18-81p122-2-1-99-99p03-3-2-77-77p0-2-11
97,superstring.mid,p21-3p-2p2p21-3p-2
98,greengrassgrows.mid,p21-3-20p2p21-3-2
99,starlight.mxl,5-1-5-150-10-53-22-2-1-110p35-1-5-15-1-5
100,chatterbox_jerome.mxl,3-743-743-723-100073-1073-1073-1054-90002212-2-1800-22-22-22-2-10003-853-743-723-100073-1091-1073-1054-900
101,amothersprayer.mxl,52p1-1-20-112-52p-410-2-10-221-1-2p-512-2-20221-1-2021-1-12435-2-3-2-5521-1-20-112-52p-410-2-10-221-1-2p-512-2-20221-1-2021-1-12435-2-2-3p
102,lady_love.mxl,-2-1-3137-1-2-2-3-5147-2-2-2-419-2-6110-2-1-20214-2-2-1-2-2-2-1-3137-1
103,feelings.mxl,-705-521-37-70p021-370-2-2p-114p5-900p9-2-2-1120p-2-1-230-11p0-1-2-222p
104,evangelimann.mid,p0-119-40-1-40-1110-1-101-60-21102-2-20-1-2-222
105,nearyou.mxl,p-1p3-2-1-1-2100-12-1-1-1-310-112214-2-13-2-52212-112-2-4-1-25-13-2-1-1-2100-12-1-1-1-31
106,howdeepisyourlove.mxl,5220-422-40p1121000-321-30p212000-332-20-3-4002210002-3-20p-20900003-350-3-400230-3-220-2-33
107,sanfranciscobrewingad.mxl,3023-33-30-2-3-44p32-23-1-2-222-1440352-2-30-2-2-3-2120-2-1p-550
108,alla_rancho.mxl,p300-20-101-1111-5-33-2-1350-550-20-1-4-5543-2-13-8-4433-1-22-4-5543-2-13-8-4433-1-22-4
109,gumtree.mxl,000200-2-33-312000100-1-44-40-321-3-2-312-2-1-4000
110,diesererde.mid,p0120p02-2p0-2p-302p10p02-2p0-1p001p20p02-2p0-2p-302p10p02-2p0-1p00120p02-2p0-2p-302p10p02-2p0-1p001p20p02-2p0-2p-332p-20p4-2-2p0-1
111,mitternachtstango.mid,-119-2-20-1p-4-1110-1-11p-404302-2-2p2-2-1-111-1-2-2
112,mygodandi.mxl,30-743-330-2-10-44-2-24-2p002-4-101p5040-2-2-33-1-22p012-7225030-1-2-44-2-24030-1-2-4040-2-24-29-4-5-2-130-37-2-20-2-35-2-10-2-310
