N,SongName,SongString
12,themetodayshow.mxl,p23-29217p2-21628-29217p1-183-32.534.5-35-212170-21733-30.5234.5-233.530.5-31.5234.5p1-203-32.534.5-35160-16212250
13,themeatimetolove.mxl,p134155-159p1-30p1144-136p1-120p1163-157p1-60p173-103.510.5282p2102-153p100p167-1020.511.5p1270p1228p1-2240p14-343p2-11p1166-159p1-30p1144-136p1-120p1163-157p1-20p169-103.510.5282p2102-153p100p167-1020.511.5p1270p1224
14,gehtsparkasse.mid,p20.5-0.5-235.5-35.567
15,whisper_to_me.mxl,75-83159-152072-72146-153372-72068-71211-140p1-10504271-78161-154-168-75159-159153-148078-75
16,goodnight.mxl,p2p4p4p4p4-70-2129-137143-13970-74377-70-2624146-142p2-75p10p177-803146-144187-192p10377-803146-144191-130p1-6563-66-139-6113-138147-14472-75-1179-77136-13966
17,themetodayshow.mid,p23219p2-24728219p1-214-32.534.5-35-212170-21733-30.5234.5-233.530.5-31.5234.5p1-203-32.534.5-35160-16212250
18,chatterbox_carew.mxl,5-35134400-2-37134-35134400-2-311121-82-2-266-103.5-131.5-30.5-131.5-1169-104134-35134400-2-37134-3511.5p0.536.500-2-311121-82-2-266-103.5-131.5-30.5-131.5-1169-96.5110-2140.5-2-269
19,uncantoagalicia.mid,p229.51-2931-3133-237-70.528.52-2930-3032-2-1p0.5-29.529.51-2931-3133-237-70.528.52-2930-3032-2-1p0.5-29.529.51-2928-2833-237-70.528.52-2930-3032-24p0.5-34.529.5-291-1.529.5-2833-237-70.528.5231-6032-2161.25
20,word_warning.mxl,p0.5p1p297.5-65p0.5-3329134030-37.51.5106-71p0.5-3996-64p0.5-332814340-44205p1-2073-3-564-6638.5-67100.50-67p0.5-33.5104.5-74064-59-33.50.5108-72p0.5-36.5106.5-71p0.5-38.597.5-65p0.5-332913430-3370-71p0.5-3996-64p0.5-3227143p130-383241
21,fence.mxl,p1522-17.25-34.7552-17.25-34.7534.75-3532-32121.250-68-35.5-1167.5-153-31.7550.75-16.75-33.7550.5-16.75-33.7533.75-3431.75-31.75117.7510-36-73172-158.25-3252.25-17.25-34.7552-17.25-34.75520-35.564-45-35.2535.25-3538-38.2535.25-34.537.5-37.2555.75-3869-53.25-34.7534.75-34.2536.5-36.2536.25-35.556.5-1-386933-69-35.5-132.50000-18.5-30.532.75-32.7530.5-30.532.75-32.7530.5-30.532.75-3232-33.25224.5
22,bali.mxl,p0.5p1p217.75-32.515.75-15.7517.25-17.2515.75-15.75p0.25p0.5p0.5p0.5p0.5p0.5p0.5p0.5p0.514.75615.50p2-36.25-8.12539.875-31.7517.25-17.2531.75-31.75p0.125p0.25p0.5121.75-34.5-73.5-13.75-8.12539.875-31.7517.25-17.2531.75-31.75p0.125p0.25p0.521.2570.50-75.51-1733.751.5-34.7534.75p0.25p0.5p1-34.25p0.25p0.5p0.75p0.251p0.25p0.5121.5p1p0.5-10916.25-3131-3117.25-17.2531-31p0.25p2p2p0.514.756680p0.5-56.25-32.531.75-31.7534-3431.75-31.75121.75-34.5-73.518.75-32.531-3134-3431-31p1p1p132.5-32.252170.5-36p1-38.5-1733.75-32.7517-17.534.75-42.5p0.125p0.5130.75-87.5-3536.5-35.7592.75-7569-70.5
23,o_gladsome.mxl,-72072-742-266-6930-2274-720068-68-266-6868074-13874-74-27424-6-4-465-13463-63069-68078-730143p1
24,does_anybody.mxl,p1p2-34-15.250.250.2517.25-17.2515.75-15.75p0.25p157.75-40-53.7516.75-16.2552.25-2-1177-72p0.75-53.586.5-6967.5-68.5-1.5-16.2515.25-15.75109.25p0.5-950.50.50.5-1618-17.7515.75-15.75p0.25107.25-623-34-15.2516.25-15.7517.25-17.25p0.2515.75-15.75p0.25p0.557.75-4-17.5-36.2516.75-16.25p0.2535-3516.25-16.2555.25p0.25-668-67p1-14.5-34.533.75-34.2516-16.2531.5-32p0.2546.25669-103.5-1732.75-3331.5-32-10.5p0.25p0.545.75533.5-68-1.5-15.2516.25-15.7517.25-17.2531.75-31.75p0.25p0.557.7566-105.50.539-23-166-70-575-70p1p4p4p4p4p4p4
25,shepherd.mxl,p4p4p4p2p2p12.510.574.51.5-73-1-0.568.5-36-34.5-1-0.5-1.567.5-6-61.5-0.5-1156p0.5p0.5-15201-17056-38750-35-39-0.5018.25-20.75-1.52.5p0.25p0.5p0.537-37.5-1-1.52.5-133.5p4p4
26,thehappywhistler.mxl,0-26.50p0.531.54-321-1-3.5p0.5-14.7515.75-1-16.54390-35.51p2p1p0.5p1-3.529504-321-1-1-0.5-1-1-1.52890-34.5-1p2p1p0.53.510390-3-371-1-1.50-1-1035.530-36.51.5p2p135-3401.5037.5-3-371-1-1.50-1-1-1.52890-34.5-1
27,girlinthedark.mxl,461.5-631-194-96.5461.5-631-194-94466.5-681-1101.5-6650p1p1-63830-631-194-96.5461.5-631-194-94466.5-681-1101.5-6650p1-90.535.5-4127-1260730.5-661-2.533-3-529-541-1104-7139-68.50.5-1.534.55336-76.540.5147
28,spider.mxl,p3p2-3-1178-73-2-2-4360-59-4182-731210-1284381-7874-75143-1544379-76-36.5036.51149-146-38-2.51.5-128-321.52-1103.5-73130-159.50-0.50.51.5p0.5101-6767-71161-159-1177-70-3-47146-84-6773-75144p2-1465-11-1-33-2-9965-67300-1-530-2-166-660-111-112-13132-135012-3-490-265p1
29,mysweetlord.mxl,p4p4p4p4p4p4p4p1p0.5033-34.534.5p1p2p0.539-72-1.5-1132.5p1p2p0.541-72-1.50032.5p1p2p1p0.5-32.51.511.5-1.5400p2p2-4111.5-1.540-38.50p2p2-2.511.5-1.540-38.500-40.5101.5-0.5-10-1.5-1033.5p1p2p0.55-37.5034.5-34.5
30,timeformuehlebach.mxl,-44-44-44-44-44-44-44-44-44-44-44-4p1-41-14.7548.75-33.5228.5-197-32-15.25p0.2549.25-3190-189p1p2
31,daybyday.mxl,p1p10-21p0.875155p2p1p1-1540-21p0.5155p1p1-15531-3136p0.561p0.5-68p0.52-320320p0.5124p6p1-15536-33.501p0.531.5-3496p1-61-33.533.5p12p0.5-3-3496p1-95.5-0.50.532.5p2-31.533.5p2-35-1-130-2931p0.5-30-197p164p2p1p1-1600-21155p0.5
32,roses.mxl,-34.5-1-0.50.521.51072-76-34.5-1-0.50.51.521102-71-39.5-0.500.51-1112.5-8-34-7793-16-74.5100.5-67-34.5-1-0.50.521.51072-76-34.5-1-0.50.51.521102-71-39.5-0.500.51-1112.5-12-30-7793-16-731050-105p0.5p1
33,hessofine.mxl,p2-35-1217-186p1-28.50-1.5-1225-194p0.5-28.533.5-3-331-2193-62p0.5-28.533.5-33.5-1.532-4-2861p0.5-59.5011.5-2.52.5-1.5p21.57236p0.5-110.535.5-32-10-1.5253.5p0.5-254.535.5-33-1.537.52-39.50109.5p0.5-110.511.50-1.51.50252p0.5-254.5-1.51.5033.5-35216-186p15-3-331-2193p1-62p15-3-331-2193-62p0.5-31-137-35-11-2193
34,letitend.mxl,-65-163.5134.5-34.5-133.5-31.5-3.5156-153.5134.5-34.5-134.5-33-3155-152.50.536-36-0.534.5-33-2.530.5-30.5100.51136-37-136-34-3.5162.5-163.5134.5-34.5-133.5-31.5-3.5156-153.5134.5-34.5-134.5-33-3155-152.50.536-36-0.534.5-33-2.530.5-31.5110.511108-108-111111-111-110.5112.5-112.5-0.5-11.537.50-1-38-1105-10501137-1-1-37-1102-102010.534.51-2-34.5-1234.5-134p0.5-9810.5
35,light_myLife.mxl,p0.5p3p3p4p1p0.5p1p1p0.5p1p0.5p135-3537-3735-3537-3735-32.536.5-3561.5p0.5-32.5-32.5p0.536.5-36.5p0.538.5-38.536.5-36.538.5-38.5p0.536.5-33.536.5-36.50p0.528.5p0.50-32p0.535-3537-3735-3537-3735-32.535.5-35.576.5-37-3739-3935-36.538.5-3833-4-1-3337-37p0.5p0.5170-1373467-743670p1-703467-74131-65p1-6837141-1513667-6965-7272-711700p1-703467-743670p1-7033-10-2128-65p1-682187-78-2-8-30.50p0.5108.5-107.50119.5p1-7781p1-6-76140-72p1
36,niveau.mid,p110.5-0.5-1p2010.5-0.5-1p2010.5-0.5-1-135.5-2-1-2p1-29.510.5-0.5-1p2010.5-0.5-1p2010.5-0.5-1-135.52-4-1p1-31.510.5-0.5-1p2010.5-0.5-1p2010.5-0.5-1-135.5-2-1-2p1-29.510.5-0.5-1p2010.5-0.5-1p0.55000000034.5-38106.66666666666669
37,wishing_song.mxl,p1p177-108.50.5106-1101.5108.5-107.51102.5-106.50.53533.5-6733.5-2-1131-65-980.5115.5-1121107-1120.5111.5-108.50.5106-96.25-30.2553.534.5-72.53734-71
38,old_eli.mxl,100-1022128-128160-1614-4138-152240-77-46500-67172-1610-41200-124100-1022128-128160-1614-4138-152240-77-45920-27.5-66107.5071-144199-201p1p2
39,rendezvous.mxl,p4-0.535.5-35-0.5-1-11-134.5-33.5-1-1-0.50.5-0.532-31.5-0.5-1-1231-224036-36-0.5-1-11-135.5-34.5-1-1-11-133.5-32.5-1-0.5-1171p1-166-0.535.5-35-0.5-1-11-134.5-33.5-1-1-0.50.5-0.532-31.5-0.5-1-1239
40,mojoworkout.mxl,0036-36-2.536.52p1p10-37.537.5-36-2.536.52p0.5-38.51.51p236-36-2.538.5000-3636-36-2.536.52p1p1-370-1.536.5-35-1.51.5-1.500p0.50000-130.5177-60p0.5-150.50.500-131-300000264-66.50.500030-300003030-60.5
41,gotmymojoworking.mxl,078-80-11-1-407700-611800-189p17070-72-11-1-4087-10-4-211800-18941-169-68-1-477-77770-4-211800-18987-75750-22150-22575-75750-22150-22575-75750-22150-225p1p2
42,ithinkaboutyoutwo.mxl,p10-0.5-10-11-10033-20p1p0.5p0.5p0.5-311-131-7p0.5p1-21.50-0.5-10-1p1p0.5033-17.5-3148.5p1p0.5p0.5-30.5-1.5-131-7p1
43,muehlebachbeersmith.mxl,-55-55-55-5-7228-216-38.5135.52204-207-370.534.52191-195-330.534.5-3196-65-1650258-216-38.5135.52204-207-370.534.52191-195-330.534.5-3196
44,downunder.mxl,p4-20-0.5-9.375-0.125-0.125-0.12525.7521.5p1p41-20-0.5-9.375-0.125-0.125-0.12525.75p2-1500020-19.75019.25-22-2p42-20-0.5-9.375-0.125-0.125-0.12525.75p2-14.2500021.25-20.75019.75-1.51.5-1.50-20-0.5-9.375-0.125-0.125-0.12525.75p2-1500020-19.75019.25-22-2p4p1-28.1250.1250.1250p0.512.375-0.25106.25p4-109.7500019.25218-38.518-1p4-25.125-0.25-0.25-0.125-0.25-0.250.250.250.3750.25-0.25-0.2511.375-0.5145.25p4-148.2500019.25218-38.518-1p4-25.125-0.25-0.25-0.125p0.5-0.25-0.250.250.25p0.50.3750.25-0.25-0.250.75-0.2572.625p4-65.2500019.25218-38.518-13.5-20-0.75-9.125-0.125-0.125-0.1250p2p430.25-20-0.5-9.375-0.125-0.125-0.12525.75p1-1500020-19.75019.25-22-2p4p0.25-16.750.25-10.125p0.1250.1250.12510.87521127.5p4p0.125-159.8750.25p0.125-0.250.25p0.25-0.250.25p0.25-0.250.25p0.25p1-0.250.25-0.250.25-0.250.25-0.250.25p0.25p4-0.250.25-0.250.25-0.250.25-0.250.25
45,hey.mxl,p1p1p0.5-40.56-10-0.5-100-138p1p1p0.5-40.54.5-10-10-0.50-192.5p2p1-93.51131.5-29235p4-197p1p1p0.5-41.5214.5p1-215.51131.5-30232
46,muehlebachbeersmith.mid,-55-55-55-55-55-55-55-5-7300-326.5135.52204-207-370.534.52256-2930.534.5-3391-4250258-216-38.5135.52204-207-370.534.52256-2930.534.5-3196
47,lady_divine_pt2.mxl,-21-129000-1-9139-136-32.5p0.5p134.5p1p1-1p11-2p1-32.51188.5-78-73-1p1-1-61p0.5-29.5160.5-65-65-1p11-4p1-301.5183.5-74-73-2p14-22p0.5-37.5
48,sognonostalgico.mxl,463.5-651-197-99.5463.5-651-197-97468.5-701-1104.5-103.50.5148p0.5p0.5-1543.5-2.5162p3-91.5-681-2.53428-6256-561-1107-6936-70.50.5-1.535.5-7331-65-0.50.5161
49,jeanniemichele.mxl,p1p10.53700-642-72340058-9303400031.5-68168.5-134p1-32.50.53700-642-72340058-93.50.53400028.5-63181.5-144p1p1
50,perhaps.mxl,p0.51-12.5-1.5-1-1.5233.5p0.5-234.51-138.5-3179p0.5-218111.5-1-0.50.5255.5p0.5-254.512.532-1208p0.5-2401-12.5-1.5-1-1.5233.5p0.5-234.51-138.5-3191p0.5-227.511-1-111117.5-4p0.5-115.51141.50140p1
51,lady_divine_pt3.mxl,-64-61-1p11-2p1-32.51188.5-78-7276-7680-78133-69-6967-6783-78-31-87-2-566-63225140p1p1-1491490
52,mygodanditwo.mxl,18.25-33.5p0.5p283.75-68.51.5016.75-34.2548-2p0.5-3115.5-30.5p281.5-652015.75-34111.75p0.5-9616.75-3286.75-691.5017.25-3651.75-2p0.5-351.52.570.5-72-1015.25-33.25112.5p2
53,lifeisarock.mxl,-197.5-10.5-0.535.5-2-370.531.50-34.532.5-34p0.5-10.50.593-107.2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000131.25-112.533.5-35.50p0.5001-135.55148p1-188.501-135.573-8p1-100.50132.5-31.5
54,dakota.mxl,-30.75120.75-62-28.75-30.25170102-104.52.5-12.501.5-1p0.527333-39.53-12.5-1.52.5-12.525.5423238p4-187.5-104.250.5137.25p2p4-2-2p1p2p0.5-112p1-3.51142.5-44.5p1133.5-84-43-13989-136.5-2127.5p0.5p28-35.5-10-17.750.5-0.5-0.75p0.528.5-27.75110.25p1-49-34-1140p0.5160-16180-413820
55,prelude.mxl,0p1p137-33.51-1-1148.5-69-75-22168-131-39-1.5-1.5p0.5-12.560.5-63-13.528.52-343.578.5p0.5-75-2.52.5-2.50.5-18.75-0.521.25-2.52.5-2.50.5-18.75-0.521.25-19.5019.50-19.5-0.5-0.50.5p252-32-19.5019.50-19.5-0.5-0.50.5p25285p1-119.5-4.52.5-2.51-17-0.519-2.52.5-2.51-17-0.519-16.25016.250-17.25-0.25-0.50.5p245-27.5-17.25017.250-17.25-0.25-0.50.5121p1-101.5-2.52.5-2.50.5-17.5-0.520-2.53-30.5-17.5-0.520-18.25018.250-18.25-0.5-0.50.5p248.25-29.5-18.25018.250-18.25-0.5-0.50.5p248.257p1p1-35-2.52.5-2.51-18.75-0.520.75-2.52.5-2.51-18.75-0.520.75-19019010-1-19019010113p1-1420.1250.25-0.8750.250.2550.75-40p0.2564.25-430.51-3.511-31.1250.1250.25-0.8750.250.2553.625-420.5-0.5p0.25p0.521.5-0.5-1-1-0.53.535.5p1p1
56,calledlove.mxl,p1p2-6-36706132p2p1-204-3433-33.5100.50-8130p2p1-1860-367-67335-70.5237.5p2p1-204-3433-33.5100.5-67-4-31.563145.5p2p1-1650-372-72302219p2p1-222-2-468-6730-2198p1-198000-367-673-3537-37237p2p1-2040-167016
57,myownsweet.mxl,11p0.5p268.5-6712.5-1-1.534-5p0.5-32.52.5-166.5-66.513.5-1-2.5361p0.5-40.51168.5-6712.5-1-1.534-5p0.5-26.51-174-75.5-0.5-1.5-2.5134.5-34p0.5p0.5-0.50.5173-71.5-0.5-1-1-0.536.5-2p0.5-34.50.50.570.5-72.54-0.5-1-1100p0.5-102.51168.5-6712.5-1-1.534-5p0.5-26.51-174-75.5-0.5-1.5-2.5134.5-34p0.5p2
58,lady_divine_pt1.mxl,-5273-731143-115-4273-75125-62p1-58-5273-73
59,o_light.mxl,-72072-742-266-6930-22740-7268-68-266-6969074-13874-74-27424-78068-4-20-4-630137-136507370p10p1-14400072-73073-102476p19-15075-4p4
60,light_myLife.mid,p0.5p6p4p2p435-3537-3735-3537-3735-32.536.5-35126.5p0.5-130p0.536.5-36.5p0.538.5-38.536.5-36.538.5-38.5p0.536.5-33.536.5-36.50p0.560.5p1-64p0.535-3537-3735-3537-3735-32.535.5-35.5150.5-14839-3935-36.538.5-3833-4-1-3337-37p1170-1373467-743201p1-2043467-74261p1-26337141-1513667-6965-7272-711137p2-1373467-743201p1-20433-10-2193p2-1982187-78-2-8-30.50p0.5108.5-7385p1-772-3140-72
61,tillyou.mxl,p18-834-6390p1-639-93-159p1-595339.5-88.5-0.25120.250p1-69195p1-2058-834-6390p1-639-9-27-0.529.559p1-595371-4134-202
62,twilightwaltz.mxl,p10122-110p1p1-24-22p1100118p1-1180118p1-1180118-106p1p1-24-33p11112104-104-120116p1-11812100-100p1p1-24-2-3p1201288-88p1p1-30-2-2p110120p1p1p1223-12-12p1213132-132p1p1-12-33704p1p10130-14822144-1421-1121p1-1113123-121-2-3126p1-1280122-122p1p1-12-2-3p1143113-111p1p1-17-2-2p1111294-94p1p1-24p1p1p1132193-163.5-6800.578-770-0.577.5-770-0.5185.5-126-63.50.50.573-720-0.572.5-720-0.5173
63,desert_song.mxl,-1276-269-7763-60131-1307-171-7933-640.50.5168-1338-278-800-9178-7307-567-7171-71125-1276-269-7763-60131-1307-171-7933p0.5p1
64,littlespanishtown.mid,p3433-2-137-75-1-0.5166.5-164-4.52.5-10.333333333333336p1/611.333333333333336-11-3.52-10.5p1/611-0.50.5-2.54.5-24.5-1125.5p1-9923-112-35-1174-1790.511214.5-2170.511218.5p2-18523-112-36.5-0.5179-182.510.5-1.5254.5-254.510.5-1.5182.53-182-4.52.5-10.333333333333336p1/611.333333333333336-12-4.52.5-10.333333333333336p1/611.333333333333336-1253p2-252-3.52-10.5p1/611-0.51.5-3.52-10.5p1/611-0.5245.5p2-21523-1-2-2235-226-2153665p2-259-4.52.5-10.333333333333336p1/611.333333333333336-12-4.52.5-10.333333333333336p1/611.333333333333336-1253p2-250.5-4.51.5-9.5p1/612-11.5-4.51.5-9.5p1/612-1260p2-229433-2-137-75-1-0.599.5p1-97-4.52.5-10.333333333333336p1/611.333333333333336-11-3.52-10.5p1/611-0.5105.5p4-103-4.52.5-10.333333333333336p1/611.333333333333336-12-4.52.5-10.333333333333336p1/611.333333333333336-1253p2-252-3.52-10.5p1/611-0.51.5-3.52-10.5p1/611-0.5245.5p2-21523-1-2-2235-226-2153665p2-259-4.52.5-10.333333333333336p1/611.333333333333336-12-4.52.5-10.333333333333336p1/611.333333333333336-1253p2-250.5-4.51.5-9.5p1/612-11.5-4.51.5-9.5p1/612-1260p2-229433-2-137-75-1-0.599.5p1-97-4.52.5-10.333333333333336p1/611.333333333333336-11-3.52-10.5p1/611-0.5315.5
65,whisper.mxl,75-83147-140072-72146-153372-72068-71211p2-140p1-10504271-78161-154-168-75159-159153-148078-75
66,youdbesonice.mxl,5p2214-144-108.533.5-35104-100-651212-142-100.530.5-33209-120-582131-13063-9636-32.5186.5-15173-10838-36.5190.5-15678-42-72.5248.5-142-732217-146-106.533.5-35104-100-6414366
67,pourtoi.mxl,-106.5-3.532p1-321p1p0.5p2p234-33.5-0.5-13.5-3.532p1p2p1p1/3-42.666666666666670.666666666666667945-33.5-0.5-174.5-68.5114-38-7737-37136-38-0.535.5p1
68,whilewedream.mxl,-70.5-1-168-68-3.51156-62-931.5101.5-102.52104.5-73151-146p1p1-390109-1091.5105.5-71119-62-931.5107.5-1091.5105.5-71122-126-320.5p176.5-7200104-1101.573.5-751.52104.5
69,janine.mid,p30.33333333333333215255.6666666666667-225.33333333333337215.33333333333337-2180000000000006211.33333333333337-239.333333333333340.333333333333332152390000000000003-239.333333333333340.33333333333333215
70,vagyok.mxl,p0.51-12.5-1.5-1-1.5233.5p0.5-234.51-12.5-1.5-1-1.5216p0.5-2180101.50-1.5340-32.5-1.51.5-1.5330-32-22-2218p0.5-2121-12.5-1.5-1-1.5233.5p0.5-234.51-11-11-1226.5p0.5-227.5010-110.5242p0.5-241.52.5-2.51.5-1.5-4.51229
71,mizpahshalom.mxl,p0.5p0.50.521.5110.5-1071104-107.51180.5-147-400.51.51.5109.5-1061101-102.5-1157.5-1286677-106.5-68.51.5-197.5-6542139-75.5-18.2516.25p0.25116.5-114.5-1166.5-134-37.50.521.5110.5-1071104-107.51171.5-138
72,idreamed.mxl,p1p1p15-11-11-36.50.572-72.533.5-22-22-35.5169-7031.5-11-33033-1-2-2208-134p1-655-22-22-38174-7535-22-22-36.5171-7232.522-2-220-4203p1p1p1-2015-11-11-36.50.572-72.533.5-22-22-35.5134.5-35.5031.5-11-11-1-2-22080
73,messiah.mxl,p1p0.5p134-35.531.5-31.5701.5-33-37.573.5-36-3634-35.5166.5-100.5-30.5-35.5166.5-100.5p1p0.5-30.5-35.532.5-32.570.53-34-397603-37-4167.50-31.5-37172-103.5p1p0.5-34.5-35.531.5-31.5701.5-33-37.573.503-36-37.536.5-3869-1.5118.5-148p0.5p1p0.5
74,itallcomes.mxl,p4p4p4p4p1p236-7236-466-33.5-68101.5-163.5-65101.5-163.5-67.5222-63-11736-7236-38-1.5p4p4p4
75,getoveryou.mid,-2-3-2-2-3-3111.5-1.5
76,es.mxl,p0.5-163.50-10-0.50-110.527.567p0.5-94.50-0.50-10-1112867p0.5-94.50-0.50-1010.5-1.535131-66p2p410-106.50040-0.50-10-10-0.529.537.5-6904.50-10-10-0.5-1-131.537.5-6802.50-10-0.50-1-1-1108.5-469p16p0.5-177.54-0.50-10-10-0.529.572p0.5-103.54.5-10-10-0.5-1-131.5135p1-13721-312262p4
77,iloveyouyesido.mxl,p10036-73.5103.5-6920035.5-73100.5-67-35-233.5-6897.5p2-702
78,kalamazoo_warren.mxl,31.5-31.5031.5-31.5031.5-31.5031.5-31.515.75-30.518.252.5112.50-6-91.5-36.7515.75094.50p2-9117.5-35.515.52.517.5-35.515.52.517.5-35.515.52.570-7116.25-34.515.750031.5-31.5031.5-31.5031.5-31.515.75-30.518.252.5112.50-6-91.5-36.7515.75094.50p2-9117.5-35.515.52.517.5-35.515.52.517.5-35.515.52.570-7116.25-34.515.750031.5-31.5031.5-31.50p0.5p1
79,keeponsingingtwo.mxl,p0.54.5-18.25018.250-1836.250-37.536-360.53711.25-16.5-3319-17.75-0.518.250-17.25350-37.250.50.750-0.750.75-1.250.5-0.548-16-3220.50000.5-0.50-18.25-10.535.5-17.75129.5-16.5-331.25017.750-18.251035-35.5-1.750017-15.75-0.750.7518.25-18.2551.75-34.51-17.2536.5-3734-33.536.5-3716.75-17.250.5-0.50.5-0.518.25195.5-96.5-17.75-0.50.5-0.50.5-0.5136.5-37-1.750017-15.7500-0.751834.5p1p4
80,beginthebeguine.mxl,p42720-100.530.5-33225-128-95.5p0.527.50276-84.75-3636-3636-3636-35.2537.5-37.2555.75-3870.5-54.75-34.7534.75-3436.25-36.2536.25-35.556.5-1-3870.531.5-69-35.5-132.50000-18.5-30.532.75-32.7530.5-30.532.75-32.7530.5-30.532.75-3232-33.25224.5
81,reich.mid,p110.5-0.5-1p2010.5-0.5-1p2010.5-0.5-1p0.52.5p0.5-1p0.5-0.5p0.5-1p2010.5-0.5-1p2010.5-0.5-1p2010.5-0.5-1p0.52.5p0.5-1p0.5-0.5p0.5-1p2010.5-0.5-159-5910.5-0.5-159-5910.5-0.5-1034.5-2-1-31.559-5910.5-0.5-159-5910.5-0.5-159-5910.5-0.5-1034.5-2-1-31.50
82,kalamazoo_arnstein.mxl,-47-74105-35.5-7135.5-443-7-5540-443-7-5548p1p0.5-421135p1p284p0.5-118.51-1p0.5-400106.516-118.501-1.5p0.5-40010518-118.501-1.5p0.5-4.500103.520-118.5p0.5p1p0.5-6000-100p0.54.500111-18-97.5000p0.5400109.5-18-960004000108-18-94.5000p0.540035.5p1115p1p0.5-14911119p0.5-120-1-1106-106.52.5-1-102-1-1-0.52.5-1-1-0.52.5-1-1p1159p10p1-3p1-130-1p1
83,pourtoi.mid,-106.5-3.532p2-42.666666666666670.6666666666666679p5/1278.5-67.5-13.5-3.532p3p1-42.666666666666670.666666666666667945-33.5-0.5-174.5197.5-26737-37136-38-0.535.5
84,whereareyou.mxl,p0.5p0.5p1136.5-36.571-72034.5p1p22-35.536.5-1-36.534.5p1p0.5p0.5-34.5136.5-36.535.540-57.75-35.551.25p2p2-3335-36.5103.5p2
85,sadness.mxl,-80-2-5-37.52171.50-51-81-4-2-35.5-0.51590-34-80-2-5-37.52171.5-69p1-672281-81153-76p0.5-114-1173-76.5p319.5-36.2588.75-71p31.5173p0.5
86,littlespanishtown.mxl,-4.52.52035-372-4.52.522.532.5-36174-138p1p1-36-3.521.500-1.5p0.51.5-3.521.500-1.5p0.535.5p1p20p1p1p10-392.51-1p136.5-392.51-1p135.51170p1-48-1073.5-1-1105.5-1073.5-1-134.51190p1
87,someday_prince.mxl,-50-6967-661240-46-7472-71021200400140-144-31200400140-144p1p1108-50-6967-661240-46-7472-7102174-7286-8122-65.5-0.50.5118.5-78-20072-721440
88,loopdilove.mid,p5-721134p436-721134p439-730.5-0.536p434-721134p431.5-680.5-0.533.5p434.5-680.5-0.533.5p439-721134p436-721134
89,heartbeat.mid,-2-3-2-2-3-3111.5-1.5
